store_code_uc,store_zip3,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,years_drink
84096,376,1,1,1,1,1,1,1,1,1,1,10
84490,339,1,1,1,1,1,1,1,1,1,1,10
84893,451,1,1,1,1,1,1,1,1,1,1,10
84902,221,1,1,1,1,1,1,1,1,1,1,10
84947,441,1,1,1,1,1,1,1,1,1,1,10
85115,606,1,1,1,1,1,1,1,1,1,1,10
85133,782,1,1,1,1,1,1,1,1,1,1,10
85296,120,1,1,1,1,1,1,1,1,1,1,10
85305,989,1,1,1,1,1,1,1,1,1,1,10
85518,853,1,1,1,1,1,1,1,1,1,1,10
85536,782,1,1,1,1,1,1,1,1,1,1,10
85708,797,1,1,1,1,1,1,1,1,1,1,10
85921,891,1,1,1,1,1,1,1,1,1,1,10
85939,782,1,1,1,1,1,1,1,1,1,1,10
85957,722,1,1,1,1,1,1,1,1,1,1,10
86270,112,1,1,1,1,1,1,1,1,1,1,10
86324,956,1,1,1,1,1,1,1,1,1,1,10
86514,782,1,1,1,1,1,1,1,1,1,1,10
86727,880,1,1,1,1,1,1,1,1,1,1,10
86732,283,1,1,1,1,1,1,1,1,1,1,10
86745,782,1,1,1,1,1,1,1,1,1,1,10
86954,365,1,1,1,1,1,1,1,1,1,1,10
87130,731,1,1,1,1,1,1,1,1,1,1,10
87293,240,1,1,1,1,1,1,1,1,1,1,10
87533,554,1,1,1,1,1,1,1,1,1,1,10
87723,224,1,1,1,1,1,1,1,1,1,1,10
87936,750,1,1,1,1,1,1,1,1,1,1,10
87972,864,1,1,1,1,1,1,1,1,1,1,10
88126,482,1,1,1,1,1,1,1,1,1,1,10
88153,49,1,1,1,1,1,1,1,1,1,1,10
88240,717,0,1,1,1,1,1,1,1,1,1,9
88339,852,1,1,1,1,1,1,1,1,1,1,10
88362,488,1,1,1,1,1,1,1,1,1,1,10
88485,201,0,0,0,1,1,1,1,1,1,1,7
88529,480,1,1,1,1,1,1,1,1,1,1,10
88932,427,1,1,1,1,1,1,1,1,1,1,10
89145,606,1,1,1,1,1,1,1,1,1,1,10
89181,530,1,1,1,1,1,1,1,1,1,1,10
89335,402,1,1,1,1,1,1,1,1,1,1,10
