store_code_uc,store_zip3,fips_state_code,fips_state_descr,fips_county_code,fips_county_descr,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,years_all
12353,27,25,MA,5,BRISTOL,1,1,1,1,1,1,1,1,1,1,10
12493,10,25,MA,13,HAMPDEN,1,1,1,1,1,1,1,1,1,1,10
12869,23,25,MA,23,PLYMOUTH,1,1,1,1,1,1,1,1,1,1,10
13014,100,36,NY,61,NEW YORK,1,1,1,1,1,1,0,0,0,0,6
13300,300,13,GA,89,DE KALB,1,1,1,1,1,1,1,1,1,0,9
13562,465,18,IN,85,KOSCIUSKO,1,1,1,1,1,1,1,1,1,0,9
13653,705,22,LA,55,LAFAYETTE,1,1,1,1,1,1,0,1,0,1,8
13965,481,26,MI,161,WASHTENAW,1,1,1,1,1,1,1,1,1,1,10
14368,797,48,TX,329,MIDLAND,1,1,1,1,1,1,1,1,1,1,10
14771,481,26,MI,115,MONROE,1,1,1,1,1,1,1,1,1,1,10
14981,321,12,FL,35,FLAGLER,1,1,1,1,1,1,1,1,1,1,10
15577,14,25,MA,27,WORCESTER,1,1,1,1,1,1,1,1,1,1,10
15794,317,13,GA,95,DOUGHERTY,1,1,1,1,1,1,1,1,1,1,10
15822,408,21,KY,95,HARLAN,1,1,1,1,1,1,1,1,1,1,10
15994,476,18,IN,51,GIBSON,1,1,1,1,1,1,1,1,1,1,10
16161,932,6,CA,31,KINGS,1,1,1,1,1,1,1,1,1,1,10
16410,111,36,NY,81,QUEENS,1,1,1,1,1,1,1,1,1,1,10
16605,194,42,PA,91,MONTGOMERY,1,1,1,1,1,1,1,1,1,1,10
16786,15,25,MA,27,WORCESTER,1,1,1,1,1,1,1,1,1,1,10
16813,109,36,NY,87,ROCKLAND,1,1,1,1,1,1,0,0,0,0,6
17189,143,36,NY,63,NIAGARA,1,1,1,1,1,1,1,1,1,1,10
17216,100,36,NY,61,NEW YORK,1,1,1,1,1,1,1,1,1,1,10
17330,347,12,FL,97,OSCEOLA,1,1,1,1,1,1,0,0,0,0,6
17683,986,53,WA,11,CLARK,1,1,1,1,1,1,1,1,1,1,10
17896,610,17,IL,7,BOONE,1,1,1,1,1,1,0,0,0,0,6
17956,712,22,LA,123,W CARROLL,1,1,1,1,1,1,1,1,1,1,10
17977,281,37,NC,159,ROWAN,1,1,1,1,1,1,1,1,1,1,10
